"year","prov","sector","scenario","emissions"
2020,"AB","Electricity","2022 Additional Measures Scenario",0
2020,"AB","Electricity","2022 Reference Case",0
2020,"AB","Electricity","NIR 2022",29.3
2020,"BC","Electricity","2022 Additional Measures Scenario",0
2020,"BC","Electricity","2022 Reference Case",0
2020,"BC","Electricity","NIR 2022",0.3
2020,"Canada","Electricity","2022 Additional Measures Scenario",0
2020,"Canada","Electricity","2022 Reference Case",0
2020,"Canada","Electricity","NIR 2022",56.2
2020,"MB","Electricity","2022 Additional Measures Scenario",0
2020,"MB","Electricity","2022 Reference Case",0
2020,"MB","Electricity","NIR 2022",0
2020,"ATL","Electricity","2022 Additional Measures Scenario",0
2020,"ATL","Electricity","2022 Reference Case",0
2020,"ATL","Electricity","NIR 2022",10.2
2020,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2020,"Northwest Territories","Electricity","2022 Reference Case",0
2020,"Northwest Territories","Electricity","NIR 2022",0
2020,"ON","Electricity","2022 Additional Measures Scenario",0
2020,"ON","Electricity","2022 Reference Case",0
2020,"ON","Electricity","NIR 2022",3.2
2020,"QC","Electricity","2022 Additional Measures Scenario",0
2020,"QC","Electricity","2022 Reference Case",0
2020,"QC","Electricity","NIR 2022",0.4
2020,"SK","Electricity","2022 Additional Measures Scenario",0
2020,"SK","Electricity","2022 Reference Case",0
2020,"SK","Electricity","NIR 2022",12.6
2021,"AB","Electricity","2022 Additional Measures Scenario",28.4
2021,"AB","Electricity","2022 Reference Case",28.4
2021,"AB","Electricity","NIR 2022",0
2021,"BC","Electricity","2022 Additional Measures Scenario",0.3
2021,"BC","Electricity","2022 Reference Case",0.3
2021,"BC","Electricity","NIR 2022",0
2021,"Canada","Electricity","2022 Additional Measures Scenario",59.3
2021,"Canada","Electricity","2022 Reference Case",59.3
2021,"Canada","Electricity","NIR 2022",0
2021,"MB","Electricity","2022 Additional Measures Scenario",0
2021,"MB","Electricity","2022 Reference Case",0
2021,"MB","Electricity","NIR 2022",0
2021,"ATL","Electricity","2022 Additional Measures Scenario",9.2
2021,"ATL","Electricity","2022 Reference Case",9.2
2021,"ATL","Electricity","NIR 2022",0
2021,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2021,"Northwest Territories","Electricity","2022 Reference Case",0
2021,"Northwest Territories","Electricity","NIR 2022",0
2021,"ON","Electricity","2022 Additional Measures Scenario",7.3
2021,"ON","Electricity","2022 Reference Case",7.2
2021,"ON","Electricity","NIR 2022",0
2021,"QC","Electricity","2022 Additional Measures Scenario",0.4
